日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2020-09-15,10:00:00,股票,贝肯能源(002828.XSHE),买,市价单,4700股,9.3,43710,4700股,-,0,10.93,全部成交,2020-09-15 10:00:00
2020-09-22,10:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-1900股,24.3,-46170,-1900股,-,3230,57.71,全部成交,2020-09-22 10:00:00
2020-09-22,10:00:00,股票,贝肯能源(002828.XSHE),卖,市价单,-4700股,9.35,-43945,-4700股,-,235,54.93,全部成交,2020-09-22 10:00:00
2020-09-22,10:00:00,股票,凤形股份(002760.XSHE),买,市价单,4400股,20.51,90244,4400股,-,0,22.56,全部成交,2020-09-22 10:00:00
2020-09-25,10:00:00,股票,三变科技(002112.XSHE),卖,市价单,-2900股,8.27,-23983,-2900股,-,-2378,29.98,全部成交,2020-09-25 10:00:00
2020-09-29,10:00:00,股票,英派斯(002899.XSHE),卖,市价单,-1600股,14.79,-23664,-1600股,-,-448,29.58,全部成交,2020-09-29 10:00:00
2020-09-29,10:00:00,股票,凤形股份(002760.XSHE),卖,市价单,-4400股,20.16,-88704,-4400股,-,-1540,110.88,全部成交,2020-09-29 10:00:00
2020-09-29,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,1500股,21.51,32265,1500股,-,0,8.07,全部成交,2020-09-29 10:00:00
2020-09-29,10:00:00,股票,三变科技(002112.XSHE),买,市价单,4200股,8.13,34146,4200股,-,0,8.54,全部成交,2020-09-29 10:00:00
2020-09-29,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,2800股,12.28,34384,2800股,-,0,8.6,全部成交,2020-09-29 10:00:00
2020-09-29,10:00:00,股票,顾地科技(002694.XSHE),买,市价单,11600股,2.95,34220,11600股,-,0,8.56,全部成交,2020-09-29 10:00:00
2020-09-29,10:00:00,股票,联诚精密(002921.XSHE),卖,市价单,-1000股,20.39,-20390,-1000股,-,-2090,25.49,全部成交,2020-09-29 10:00:00
2020-10-09,10:00:00,股票,顾地科技(002694.XSHE),卖,市价单,-11600股,2.98,-34568,-11600股,-,348,43.21,全部成交,2020-10-09 10:00:00
2020-10-09,10:00:00,股票,联诚精密(002921.XSHE),买,市价单,2700股,20.97,56619,2700股,-,0,14.15,全部成交,2020-10-09 10:00:00
2020-10-12,14:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-2800股,13.66,-38248,-2800股,-,3864,47.81,全部成交,2020-10-12 14:00:00
2020-10-13,10:00:00,股票,凤形股份(002760.XSHE),买,市价单,600股,20.61,12366,600股,-,0,5,全部成交,2020-10-13 10:00:00
2020-10-13,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,900股,13.43,12087,900股,-,0,5,全部成交,2020-10-13 10:00:00
2020-10-13,10:00:00,股票,如意集团(002193.XSHE),买,市价单,1800股,6.99,12582,1800股,-,0,5,全部成交,2020-10-13 10:00:00
2020-10-20,10:00:00,股票,联诚精密(002921.XSHE),卖,市价单,-2700股,23.05,-62235,-2700股,-,5616,77.79,全部成交,2020-10-20 10:00:00
2020-10-20,10:00:00,股票,如意集团(002193.XSHE),卖,市价单,-1800股,7.1,-12780,-1800股,-,198,17.78,全部成交,2020-10-20 10:00:00
2020-10-20,10:00:00,股票,顾地科技(002694.XSHE),买,市价单,12800股,2.99,38272,12800股,-,0,9.57,全部成交,2020-10-20 10:00:00
2020-10-20,10:00:00,股票,精艺股份(002295.XSHE),买,市价单,5300股,7.21,38213,5300股,-,0,9.55,全部成交,2020-10-20 10:00:00
2020-10-27,10:00:00,股票,三变科技(002112.XSHE),卖,市价单,-4200股,9.04,-37968,-4200股,-,3822,47.46,全部成交,2020-10-27 10:00:00
2020-10-27,10:00:00,股票,精艺股份(002295.XSHE),卖,市价单,-5300股,7.16,-37948,-5300股,-,-265,47.44,全部成交,2020-10-27 10:00:00
2020-10-27,10:00:00,股票,如意集团(002193.XSHE),买,市价单,11000股,6.87,75570,11000股,-,0,18.89,全部成交,2020-10-27 10:00:00
2020-11-03,10:00:00,股票,凤形股份(002760.XSHE),卖,市价单,-600股,18.87,-11322,-600股,-,-1044,16.32,全部成交,2020-11-03 10:00:00
2020-11-03,10:00:00,股票,顾地科技(002694.XSHE),卖,市价单,-12800股,2.76,-35328,-12800股,-,-2944,44.16,全部成交,2020-11-03 10:00:00
2020-11-03,10:00:00,股票,如意集团(002193.XSHE),卖,市价单,-11000股,6.62,-72820,-11000股,-,-2750,91.02,全部成交,2020-11-03 10:00:00
2020-11-03,10:00:00,股票,达意隆(002209.XSHE),买,市价单,7900股,7.51,59329,7900股,-,0,14.83,全部成交,2020-11-03 10:00:00
2020-11-03,10:00:00,股票,三特索道(002159.XSHE),买,市价单,4900股,12.12,59388,4900股,-,0,14.85,全部成交,2020-11-03 10:00:00
2020-11-06,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-900股,12.21,-10989,-900股,-,-1098,15.99,全部成交,2020-11-06 10:00:00
2020-11-10,10:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-1500股,22.22,-33330,-1500股,-,1065,41.66,全部成交,2020-11-10 10:00:00
2020-11-10,10:00:00,股票,三特索道(002159.XSHE),卖,市价单,-4900股,12.49,-61201,-4900股,-,1813,76.5,全部成交,2020-11-10 10:00:00
2020-11-10,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,4400股,12.07,53108,4400股,-,0,13.28,全部成交,2020-11-10 10:00:00
