symbol,buy_date,buy_time,buy_price,sell_time,sell_price,profit_pct,sell_reason
002274.SZ,2026-04-08,2026-04-08 09:31,6.26,2026-04-09 11:28,6.37,1.7572,T+1上午盈利卖出
002278.SZ,2025-06-24,2025-06-24 09:31,8.57,2025-06-25 11:28,8.82,2.9172,T+1上午盈利卖出
002285.SZ,2024-08-09,2024-08-09 09:31,1.9,2024-08-12 11:28,2.34,23.1579,T+1上午盈利卖出
002301.SZ,2022-03-15,2022-03-15 09:31,7.04,2022-03-16 14:50,6.84,-2.8409,T+1尾盘清仓
002305.SZ,2023-09-22,2023-09-22 09:31,2.37,2023-09-25 14:50,2.3,-2.9536,T+1尾盘清仓
002331.SZ,2026-04-21,2026-04-21 09:31,8.73,2026-04-22 14:50,8.66,-0.8018,T+1尾盘清仓
002361.SZ,2026-03-27,2026-03-27 09:31,12.09,2026-03-30 11:28,15.0,24.0695,T+1上午盈利卖出
002377.SZ,2022-09-21,2022-09-21 09:31,3.11,2022-09-22 11:28,3.28,5.4662,T+1上午盈利卖出
002455.SZ,2021-10-15,2021-10-15 09:31,15.62,2021-10-18 14:50,15.64,0.128,T+1尾盘清仓
002460.SZ,2021-04-20,2021-04-20 09:31,101.0,2021-04-21 14:50,98.95,-2.0297,T+1尾盘清仓
002467.SZ,2020-12-30,2020-12-30 09:31,5.77,2020-12-31 11:28,5.86,1.5598,T+1上午盈利卖出
002512.SZ,2022-03-17,2022-03-17 09:31,3.31,2022-03-18 11:28,3.5,5.7402,T+1上午盈利卖出
002514.SZ,2022-09-26,2022-09-26 09:31,12.56,2022-09-27 11:28,14.07,12.0223,T+1上午盈利卖出
002516.SZ,2021-02-08,2021-02-08 09:31,3.0,2021-02-09 14:50,3.0,0.0,T+1尾盘清仓
002518.SZ,2022-05-19,2022-05-19 09:31,18.0,2022-05-20 11:28,21.01,16.7222,T+1上午盈利卖出
002538.SZ,2021-10-20,2021-10-20 09:31,10.81,2021-10-21 11:28,12.27,13.506,T+1上午盈利卖出
002542.SZ,2024-04-19,2024-04-19 09:31,2.12,2024-04-22 11:28,2.15,1.4151,T+1上午盈利卖出
002565.SZ,2024-03-08,2024-03-08 09:31,2.84,2024-03-11 14:50,2.81,-1.0563,T+1尾盘清仓
002568.SZ,2021-03-19,2021-03-19 09:31,100.14,2021-03-22 14:50,96.16,-3.9744,T+1尾盘清仓
002596.SZ,2022-04-28,2022-04-28 09:31,3.5,2022-04-29 11:28,3.58,2.2857,T+1上午盈利卖出
002599.SZ,2022-03-08,2022-03-08 09:31,5.8,2022-03-09 11:28,5.9,1.7241,T+1上午盈利卖出
002611.SZ,2021-02-03,2021-02-03 09:31,4.08,2021-02-04 11:28,4.36,6.8627,T+1上午盈利卖出
002622.SZ,2025-03-11,2025-03-11 09:31,3.1,2025-03-12 11:28,3.15,1.6129,T+1上午盈利卖出
002631.SZ,2024-12-30,2024-12-30 09:31,4.6,2024-12-31 14:50,4.45,-3.2609,T+1尾盘清仓
002631.SZ,2025-03-05,2025-03-05 09:31,4.6,2025-03-06 14:50,4.53,-1.5217,T+1尾盘清仓
002647.SZ,2023-07-03,2023-07-03 09:31,5.43,2023-07-04 11:28,5.84,7.5506,T+1上午盈利卖出
002663.SZ,2021-02-09,2021-02-09 09:31,1.6,2021-02-10 14:50,1.61,0.625,T+1尾盘清仓
002667.SZ,2021-11-08,2021-11-08 09:31,20.0,2021-11-09 14:50,19.41,-2.95,T+1尾盘清仓
002679.SZ,2022-02-28,2022-02-28 09:31,12.93,2022-03-01 11:28,13.02,0.6961,T+1上午盈利卖出
002688.SZ,2022-05-10,2022-05-10 09:31,4.43,2022-05-11 14:50,4.36,-1.5801,T+1尾盘清仓
002716.SZ,2026-04-09,2026-04-09 09:31,12.07,2026-04-10 14:50,11.91,-1.3256,T+1尾盘清仓
002719.SZ,2024-05-27,2024-05-27 09:31,7.25,2024-05-28 11:28,7.59,4.6897,T+1上午盈利卖出
002723.SZ,2022-10-12,2022-10-12 09:31,12.18,2022-10-13 11:28,12.2,0.1642,T+1上午盈利卖出
002723.SZ,2024-09-04,2024-09-04 09:31,5.25,2024-09-05 11:28,5.29,0.7619,T+1上午盈利卖出
002752.SZ,2022-10-12,2022-10-12 09:31,4.78,2022-10-13 11:28,5.21,8.9958,T+1上午盈利卖出
002762.SZ,2024-08-23,2024-08-23 09:31,5.07,2024-08-26 14:50,5.08,0.1972,T+1尾盘清仓
002771.SZ,2022-12-15,2022-12-15 09:31,11.5,2022-12-16 11:28,12.0,4.3478,T+1上午盈利卖出
002778.SZ,2022-10-21,2022-10-21 09:31,14.36,2022-10-24 11:28,14.53,1.1838,T+1上午盈利卖出
002797.SZ,2022-04-28,2022-04-28 09:31,5.35,2022-04-29 11:28,5.42,1.3084,T+1上午盈利卖出
002799.SZ,2025-01-17,2025-01-17 09:31,8.46,2025-01-20 11:28,8.52,0.7092,T+1上午盈利卖出
002825.SZ,2021-01-18,2021-01-18 09:31,13.83,2021-01-19 11:28,14.69,6.2184,T+1上午盈利卖出
002830.SZ,2021-01-29,2021-01-29 09:31,9.4,2021-02-01 14:50,8.57,-8.8298,T+1尾盘清仓
002856.SZ,2025-03-27,2025-03-27 09:31,9.25,2025-03-28 14:50,8.55,-7.5676,T+1尾盘清仓
002861.SZ,2024-06-11,2024-06-11 09:31,7.78,2024-06-12 11:28,8.59,10.4113,T+1上午盈利卖出
002881.SZ,2022-05-19,2022-05-19 09:31,34.01,2022-05-20 11:28,36.06,6.0276,T+1上午盈利卖出
002883.SZ,2024-04-24,2024-04-24 09:31,9.44,2024-04-25 11:28,10.88,15.2542,T+1上午盈利卖出
002888.SZ,2024-02-27,2024-02-27 09:31,15.92,2024-02-28 14:50,15.27,-4.0829,T+1尾盘清仓
002922.SZ,2022-05-20,2022-05-20 09:31,14.02,2022-05-23 11:28,14.55,3.7803,T+1上午盈利卖出
002928.SZ,2026-04-09,2026-04-09 09:31,8.29,2026-04-10 11:28,8.49,2.4125,T+1上午盈利卖出
002952.SZ,2022-05-10,2022-05-10 09:31,12.3,2022-05-11 14:50,12.03,-2.1951,T+1尾盘清仓
002962.SZ,2021-07-02,2021-07-02 09:31,13.6,2021-07-05 11:28,14.08,3.5294,T+1上午盈利卖出
003001.SZ,2025-04-07,2025-04-07 09:31,37.0,2025-04-08 14:50,32.9,-11.0811,T+1尾盘清仓
003007.SZ,2021-08-24,2021-08-24 09:31,18.67,2021-08-25 14:50,18.63,-0.2142,T+1尾盘清仓
003007.SZ,2024-02-01,2024-02-01 09:31,35.52,2024-02-02 11:28,37.91,6.7286,T+1上午盈利卖出
003021.SZ,2024-03-07,2024-03-07 09:31,69.5,2024-03-08 14:50,68.89,-0.8777,T+1尾盘清仓
003025.SZ,2024-02-27,2024-02-27 09:31,12.5,2024-02-28 14:50,11.93,-4.56,T+1尾盘清仓
003040.SZ,2022-02-14,2022-02-14 09:31,27.78,2022-02-15 11:28,27.92,0.504,T+1上午盈利卖出
300157.SZ,2021-01-07,2021-01-07 09:31,4.41,2021-01-08 11:28,4.43,0.4535,T+1上午盈利卖出
300158.SZ,2022-04-27,2022-04-27 09:31,10.01,2022-04-28 11:28,10.51,4.995,T+1上午盈利卖出
300159.SZ,2021-03-04,2021-03-04 09:31,3.44,2021-03-05 11:28,3.45,0.2907,T+1上午盈利卖出
