symbol,buy_date,buy_price,sell_date,sell_price,profit_pct,sell_reason
002538.SZ,2021-10-20,10.81,2021-10-21,11.66,7.8631,T+1开盘卖出(盈利)
002542.SZ,2024-04-19,2.12,2024-04-22,2.13,0.4717,T+1收盘卖出
002565.SZ,2024-03-08,2.84,2024-03-11,2.8,-1.4085,T+1收盘卖出
002568.SZ,2021-03-19,100.14,2021-03-22,96.62,-3.5151,T+1收盘卖出
002596.SZ,2022-04-28,3.5,2022-04-29,3.59,2.5714,T+1收盘卖出
002599.SZ,2022-03-08,5.8,2022-03-09,6.11,5.3448,T+1收盘卖出
002611.SZ,2021-02-03,4.08,2021-02-04,4.15,1.7157,T+1开盘卖出(盈利)
002622.SZ,2025-03-11,3.1,2025-03-12,3.14,1.2903,T+1开盘卖出(盈利)
002631.SZ,2024-12-30,4.6,2024-12-31,4.43,-3.6957,T+1收盘卖出
002631.SZ,2025-03-05,4.6,2025-03-06,4.54,-1.3043,T+1收盘卖出
002647.SZ,2023-07-03,5.43,2023-07-04,5.61,3.3149,T+1开盘卖出(盈利)
002663.SZ,2021-02-09,1.6,2021-02-10,1.64,2.5,T+1开盘卖出(盈利)
002667.SZ,2021-11-08,20.0,2021-11-09,20.85,4.25,T+1开盘卖出(盈利)
002679.SZ,2022-02-28,12.93,2022-03-01,13.07,1.0828,T+1开盘卖出(盈利)
002688.SZ,2022-05-10,4.43,2022-05-11,4.36,-1.5801,T+1收盘卖出
002716.SZ,2026-04-09,12.06,2026-04-10,12.26,1.6584,T+1开盘卖出(盈利)
002719.SZ,2024-05-27,7.25,2024-05-28,7.59,4.6897,T+1收盘卖出
002723.SZ,2022-10-12,12.18,2022-10-13,12.19,0.0821,T+1开盘卖出(盈利)
002723.SZ,2024-09-04,5.25,2024-09-05,5.36,2.0952,T+1开盘卖出(盈利)
002752.SZ,2022-10-12,4.78,2022-10-13,5.08,6.2762,T+1开盘卖出(盈利)
002762.SZ,2024-08-23,5.07,2024-08-26,5.05,-0.3945,T+1收盘卖出
