日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2021-01-28,11:28:00,股票,天津磁卡(600800.XSHG),卖,市价单,-24700股,4.79,-118313,-24700股,-,2223,153.81,全部成交,2021-01-28 11:28:00
2021-01-29,09:30:00,股票,名雕股份(002830.XSHE),买,市价单,25300股,9.41,238073,25300股,-,0,71.42,全部成交,2021-01-29 09:30:00
2021-02-01,14:50:00,股票,名雕股份(002830.XSHE),卖,市价单,-25300股,8.56,-216568,-25300股,-,-21505,281.54,全部成交,2021-02-01 14:50:00
2021-02-03,09:30:00,股票,东方精工(002611.XSHE),买,市价单,52900股,4.09,216361,52900股,-,0,64.91,全部成交,2021-02-03 09:30:00
2021-02-04,11:28:00,股票,东方精工(002611.XSHE),卖,市价单,-52900股,4.35,-230115,-52900股,-,13754,299.15,全部成交,2021-02-04 11:28:00
2021-02-05,09:30:00,股票,斯达半导(603290.XSHG),买,市价单,900股,233.76,210384,900股,-,0,63.12,全部成交,2021-02-05 09:30:00
2021-02-08,11:28:00,股票,斯达半导(603290.XSHG),卖,市价单,-900股,239.21,-215289,-900股,-,4905,279.88,全部成交,2021-02-08 11:28:00
2021-02-09,09:30:00,股票,深天地A(000023.XSHE),买,市价单,7600股,15.39,116964,7600股,-,0,35.09,全部成交,2021-02-09 09:30:00
2021-02-09,09:30:00,股票,普邦股份(002663.XSHE),买,市价单,73000股,1.6,116800,73000股,-,0,35.04,全部成交,2021-02-09 09:30:00
2021-02-10,11:28:00,股票,深天地A(000023.XSHE),卖,市价单,-7600股,16.28,-123728,-7600股,-,6764,160.85,全部成交,2021-02-10 11:28:00
2021-02-10,14:50:00,股票,普邦股份(002663.XSHE),卖,市价单,-73000股,1.61,-117530,-73000股,-,730,152.79,全部成交,2021-02-10 14:50:00
2021-02-26,09:30:00,股票,世茂股份(600823.XSHG),买,市价单,49200股,4.91,241572,49200股,-,0,72.47,全部成交,2021-02-26 09:30:00
2021-03-01,14:50:00,股票,世茂股份(600823.XSHG),卖,市价单,-49200股,4.73,-232716,-49200股,-,-8856,302.53,全部成交,2021-03-01 14:50:00
2021-03-04,09:30:00,股票,新研股份(300159.XSHE),买,市价单,67400股,3.44,231856,67400股,-,0,69.56,全部成交,2021-03-04 09:30:00
2021-03-05,11:28:00,股票,新研股份(300159.XSHE),卖,市价单,-67400股,3.45,-232530,-67400股,-,674,302.29,全部成交,2021-03-05 11:28:00
2021-03-19,09:30:00,股票,百润股份(002568.XSHE),买,市价单,2300股,100.26,230598,2300股,-,0,69.18,全部成交,2021-03-19 09:30:00
